month,clean_hour,market_price_eur_mwh,hp_hc_price_eur_mwh
Janvier 2005,Lundi 0h,39.522,52.87
Janvier 2005,Lundi 1h,36.923,52.87
Janvier 2005,Lundi 2h,33.243,52.87
Janvier 2005,Lundi 3h,32.089,52.87
Janvier 2005,Lundi 4h,20.041,52.87
Janvier 2005,Lundi 5h,32.748,52.87
Janvier 2005,Lundi 6h,33.706,52.87
Janvier 2005,Lundi 7h,39.996,108.83
Janvier 2005,Lundi 8h,47.398,108.83
Janvier 2005,Lundi 9h,52.042,108.83
Janvier 2005,Lundi 10h,54.002,108.83
Janvier 2005,Lundi 11h,54.147,108.83
Janvier 2005,Lundi 12h,54.02,108.83
Janvier 2005,Lundi 13h,50.968,108.83
Janvier 2005,Lundi 14h,50.102,108.83
Janvier 2005,Lundi 15h,44.818,108.83
Janvier 2005,Lundi 16h,40.612,108.83
Janvier 2005,Lundi 17h,40.1,108.83
Janvier 2005,Lundi 18h,45.217,108.83
Janvier 2005,Lundi 19h,48.904,108.83
Janvier 2005,Lundi 20h,52.029,108.83
Janvier 2005,Lundi 21h,47.576,108.83
Janvier 2005,Lundi 22h,45.316,52.87
Janvier 2005,Lundi 23h,35.396,52.87
Janvier 2005,Mardi 0h,24.025,52.87
Janvier 2005,Mardi 1h,23.153,52.87
Janvier 2005,Mardi 2h,18.062,52.87
Janvier 2005,Mardi 3h,6.008,52.87
Janvier 2005,Mardi 4h,9.6,52.87
Janvier 2005,Mardi 5h,8.358,52.87
Janvier 2005,Mardi 6h,10.01,52.87
Janvier 2005,Mardi 7h,9.895,108.83
Janvier 2005,Mardi 8h,8.167,108.83
Janvier 2005,Mardi 9h,16.004,108.83
Janvier 2005,Mardi 10h,24.004,108.83
Janvier 2005,Mardi 11h,28.0,108.83
Janvier 2005,Mardi 12h,32.009,108.83
Janvier 2005,Mardi 13h,23.202,108.83
Janvier 2005,Mardi 14h,23.188,108.83
Janvier 2005,Mardi 15h,24.005,108.83
Janvier 2005,Mardi 16h,6.826,108.83
Janvier 2005,Mardi 17h,26.0,108.83
Janvier 2005,Mardi 18h,33.258,108.83
Janvier 2005,Mardi 19h,38.002,108.83
Janvier 2005,Mardi 20h,33.1,108.83
Janvier 2005,Mardi 21h,30.001,108.83
Janvier 2005,Mardi 22h,23.105,52.87
Janvier 2005,Mardi 23h,23.164,52.87
Janvier 2005,Mercredi 0h,41.3795,52.87
Janvier 2005,Mercredi 1h,42.554,52.87
Janvier 2005,Mercredi 2h,38.5165,52.87
Janvier 2005,Mercredi 3h,30.3305,52.87
Janvier 2005,Mercredi 4h,26.1315,52.87
Janvier 2005,Mercredi 5h,31.728499999999997,52.87
Janvier 2005,Mercredi 6h,37.8845,52.87
Janvier 2005,Mercredi 7h,71.813,108.83
Janvier 2005,Mercredi 8h,77.0265,108.83
Janvier 2005,Mercredi 9h,96.2165,108.83
Janvier 2005,Mercredi 10h,102.537,108.83
Janvier 2005,Mercredi 11h,103.115,108.83
Janvier 2005,Mercredi 12h,80.972,108.83
Janvier 2005,Mercredi 13h,75.62349999999999,108.83
Janvier 2005,Mercredi 14h,81.2395,108.83
Janvier 2005,Mercredi 15h,77.148,108.83
Janvier 2005,Mercredi 16h,107.50649999999999,108.83
Janvier 2005,Mercredi 17h,126.3955,108.83
Janvier 2005,Mercredi 18h,211.4135,108.83
Janvier 2005,Mercredi 19h,130.022,108.83
Janvier 2005,Mercredi 20h,67.5405,108.83
Janvier 2005,Mercredi 21h,61.274,108.83
Janvier 2005,Mercredi 22h,55.127,52.87
Janvier 2005,Mercredi 23h,47.775999999999996,52.87
Janvier 2005,Jeudi 0h,26.011,52.87
Janvier 2005,Jeudi 1h,24.028,52.87
Janvier 2005,Jeudi 2h,22.071,52.87
Janvier 2005,Jeudi 3h,21.011,52.87
Janvier 2005,Jeudi 4h,10.956,52.87
Janvier 2005,Jeudi 5h,21.091,52.87
Janvier 2005,Jeudi 6h,29.091,52.87
Janvier 2005,Jeudi 7h,38.215,108.83
Janvier 2005,Jeudi 8h,40.068,108.83
Janvier 2005,Jeudi 9h,48.82,108.83
Janvier 2005,Jeudi 10h,54.255,108.83
Janvier 2005,Jeudi 11h,56.567,108.83
Janvier 2005,Jeudi 12h,59.037,108.83
Janvier 2005,Jeudi 13h,54.391,108.83
Janvier 2005,Jeudi 14h,52.376,108.83
