month,clean_hour,market_price_eur_mwh,hp_hc_price_eur_mwh
Janvier 2023,Lundi 0h,113.05199999999999,52.87
Janvier 2023,Lundi 1h,118.30999999999999,52.87
Janvier 2023,Lundi 2h,115.904,52.87
Janvier 2023,Lundi 3h,102.078,52.87
Janvier 2023,Lundi 4h,98.50800000000001,52.87
Janvier 2023,Lundi 5h,115.30199999999999,52.87
Janvier 2023,Lundi 6h,144.418,52.87
Janvier 2023,Lundi 7h,171.824,108.83
Janvier 2023,Lundi 8h,183.996,108.83
Janvier 2023,Lundi 9h,182.592,108.83
Janvier 2023,Lundi 10h,173.54000000000002,108.83
Janvier 2023,Lundi 11h,164.294,108.83
Janvier 2023,Lundi 12h,154.028,108.83
Janvier 2023,Lundi 13h,148.376,108.83
Janvier 2023,Lundi 14h,149.076,108.83
Janvier 2023,Lundi 15h,151.666,108.83
Janvier 2023,Lundi 16h,152.93800000000002,108.83
Janvier 2023,Lundi 17h,174.44400000000002,108.83
Janvier 2023,Lundi 18h,188.506,108.83
Janvier 2023,Lundi 19h,186.378,108.83
Janvier 2023,Lundi 20h,170.644,108.83
Janvier 2023,Lundi 21h,155.506,108.83
Janvier 2023,Lundi 22h,155.018,52.87
Janvier 2023,Lundi 23h,147.44,52.87
Janvier 2023,Mardi 0h,142.552,52.87
Janvier 2023,Mardi 1h,139.56,52.87
Janvier 2023,Mardi 2h,138.656,52.87
Janvier 2023,Mardi 3h,120.18400000000001,52.87
Janvier 2023,Mardi 4h,118.316,52.87
Janvier 2023,Mardi 5h,131.18400000000003,52.87
Janvier 2023,Mardi 6h,149.494,52.87
Janvier 2023,Mardi 7h,171.03,108.83
Janvier 2023,Mardi 8h,192.23399999999998,108.83
Janvier 2023,Mardi 9h,180.83800000000002,108.83
Janvier 2023,Mardi 10h,165.202,108.83
Janvier 2023,Mardi 11h,150.062,108.83
Janvier 2023,Mardi 12h,138.072,108.83
Janvier 2023,Mardi 13h,130.76,108.83
Janvier 2023,Mardi 14h,133.314,108.83
Janvier 2023,Mardi 15h,133.124,108.83
Janvier 2023,Mardi 16h,150.83800000000002,108.83
Janvier 2023,Mardi 17h,172.382,108.83
Janvier 2023,Mardi 18h,189.63,108.83
Janvier 2023,Mardi 19h,188.608,108.83
Janvier 2023,Mardi 20h,174.42000000000002,108.83
Janvier 2023,Mardi 21h,158.276,108.83
Janvier 2023,Mardi 22h,155.21800000000002,52.87
Janvier 2023,Mardi 23h,143.606,52.87
Janvier 2023,Mercredi 0h,109.6025,52.87
Janvier 2023,Mercredi 1h,93.125,52.87
Janvier 2023,Mercredi 2h,87.1875,52.87
Janvier 2023,Mercredi 3h,82.1525,52.87
Janvier 2023,Mercredi 4h,79.20000000000002,52.87
Janvier 2023,Mercredi 5h,84.02000000000001,52.87
Janvier 2023,Mercredi 6h,101.225,52.87
Janvier 2023,Mercredi 7h,122.4575,108.83
Janvier 2023,Mercredi 8h,135.3025,108.83
Janvier 2023,Mercredi 9h,136.595,108.83
Janvier 2023,Mercredi 10h,121.3325,108.83
Janvier 2023,Mercredi 11h,117.51249999999999,108.83
Janvier 2023,Mercredi 12h,111.4325,108.83
Janvier 2023,Mercredi 13h,102.2875,108.83
Janvier 2023,Mercredi 14h,99.8625,108.83
Janvier 2023,Mercredi 15h,102.3725,108.83
Janvier 2023,Mercredi 16h,109.35499999999999,108.83
Janvier 2023,Mercredi 17h,119.8575,108.83
Janvier 2023,Mercredi 18h,143.325,108.83
Janvier 2023,Mercredi 19h,139.70250000000001,108.83
Janvier 2023,Mercredi 20h,125.49000000000001,108.83
Janvier 2023,Mercredi 21h,112.35999999999999,108.83
Janvier 2023,Mercredi 22h,110.42250000000001,52.87
Janvier 2023,Mercredi 23h,101.1,52.87
Janvier 2023,Jeudi 0h,131.0525,52.87
Janvier 2023,Jeudi 1h,126.2075,52.87
Janvier 2023,Jeudi 2h,121.89,52.87
Janvier 2023,Jeudi 3h,117.88499999999999,52.87
Janvier 2023,Jeudi 4h,116.845,52.87
Janvier 2023,Jeudi 5h,121.285,52.87
Janvier 2023,Jeudi 6h,136.29,52.87
Janvier 2023,Jeudi 7h,154.59,108.83
Janvier 2023,Jeudi 8h,172.88,108.83
Janvier 2023,Jeudi 9h,182.9925,108.83
Janvier 2023,Jeudi 10h,173.5125,108.83
Janvier 2023,Jeudi 11h,175.23000000000002,108.83
Janvier 2023,Jeudi 12h,154.1225,108.83
Janvier 2023,Jeudi 13h,140.0075,108.83
Janvier 2023,Jeudi 14h,140.585,108.83
Janvier 2023,Jeudi 15h,144.225,108.83
Janvier 2023,Jeudi 16h,150.8925,108.83
Janvier 2023,Jeudi 17h,161.855,108.83
Janvier 2023,Jeudi 18h,174.2025,108.83
Janvier 2023,Jeudi 19h,170.6825,108.83
Janvier 2023,Jeudi 20h,161.0175,108.83
Janvier 2023,Jeudi 21h,145.3425,108.83
Janvier 2023,Jeudi 22h,141.7225,52.87
Janvier 2023,Jeudi 23h,132.29500000000002,52.87
Janvier 2023,Vendredi 0h,105.605,52.87
Janvier 2023,Vendredi 1h,99.69,52.87
Janvier 2023,Vendredi 2h,94.685,52.87
